Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
79240;1445.00;722.40;0;0;3;;RUB;RUB
79243;1638.00;816.90;0;0;3;;RUB;RUB
79292;3449.00;1814.40;0;0;3;;RUB;RUB
79918;736.00;325.50;0;0;3;;RUB;RUB
80094;2995.00;1575.00;1;0;3;;RUB;RUB
80259;4034.00;2226.00;0;0;3;;RUB;RUB
80742;796.00;294.00;0;0;3;;RUB;RUB
80801;1637.00;816.90;0;0;3;;RUB;RUB
80802;1559.00;779.10;0;0;3;;RUB;RUB
80950;568.00;210.00;0;0;3;;RUB;RUB
80970;2329.00;1224.30;0;0;3;;RUB;RUB
81075;1266.00;632.10;0;0;3;;RUB;RUB
81182;1775.00;886.20;0;0;3;;RUB;RUB
81244;1663.00;831.60;0;0;3;;RUB;RUB
82337;1333.00;665.70;0;0;3;;RUB;RUB
83233;2397.00;1260.00;0;0;3;;RUB;RUB
83690;4517.00;2499.00;0;0;3;;RUB;RUB
83698;8325.00;4620.00;0;0;3;;RUB;RUB
83717;3249.00;1709.40;0;0;3;;RUB;RUB
84494;1788.00;892.50;0;0;3;;RUB;RUB
84498;1743.00;869.40;0;0;3;;RUB;RUB
84499;1606.00;802.20;0;0;3;;RUB;RUB
84501;1632.00;814.80;0;0;3;;RUB;RUB
84532;3995.00;2205.00;0;0;3;;RUB;RUB
84902;2884.00;1516.20;0;0;3;;RUB;RUB
85026;5151.00;2856.00;1;0;3;;RUB;RUB
86097;3653.00;2016.00;0;0;3;;RUB;RUB
86624;2949.00;1551.90;0;0;3;;RUB;RUB
86723;739.00;273.00;0;0;3;;RUB;RUB
88461;721.00;266.70;0;0;3;;RUB;RUB
88466;1229.00;613.20;0;0;3;;RUB;RUB
88664;1058.00;527.10;1;1;1;телесный;RUB;RUB
88987;1145.00;571.20;0;0;3;;RUB;RUB
89710;1606.00;802.20;0;0;3;;RUB;RUB
89744;1435.00;716.10;0;0;3;;RUB;RUB
90052;6021.00;1988.70;0;0;3;;RUB;RUB
91784;5070.00;1673.70;0;0;3;;RUB;RUB
92343;2345.00;1232.70;0;0;3;;RUB;RUB
93388;4759.00;2625.00;0;0;3;;RUB;RUB
93390;1772.00;884.10;0;0;3;;RUB;RUB
94700;844.00;373.80;0;0;3;;RUB;RUB
94704;844.00;373.80;0;0;3;;RUB;RUB
96229;983.00;434.70;0;0;3;;RUB;RUB
96234;784.00;346.50;0;0;3;;RUB;RUB
99688;859.00;380.10;0;0;3;;RUB;RUB
99698;2511.00;1320.90;0;0;3;;RUB;RUB
99707;694.00;306.60;0;0;3;;RUB;RUB
100095;1011.00;447.30;0;0;3;;RUB;RUB
100107;1857.00;928.20;0;0;3;;RUB;RUB
100288;2354.00;1236.90;0;0;3;;RUB;RUB
101148;2654.00;1396.50;0;0;3;;RUB;RUB
101173;3417.00;1797.60;0;0;3;;RUB;RUB
101369;1503.00;749.70;0;0;3;;RUB;RUB
101503;1914.00;1005.90;0;0;3;;RUB;RUB
102237;2604.00;1369.20;1;2;1;"L черный";RUB;RUB
102423;559.00;186.06;0;0;3;;RUB;RUB
102428;559.00;186.06;0;0;3;;RUB;RUB
102592;3864.00;2142.00;0;0;3;;RUB;RUB
102600;4739.00;2625.00;0;0;3;;RUB;RUB
102601;4707.00;2604.00;0;0;3;;RUB;RUB
103124;10392.00;5922.00;1;1;1;черный;RUB;RUB
103129;2788.00;1465.80;0;0;3;;RUB;RUB
103563;1023.00;510.30;0;0;3;;RUB;RUB
103565;775.00;285.60;0;0;3;;RUB;RUB
103719;1105.00;489.30;0;0;3;;RUB;RUB
103720;1060.00;470.40;0;0;3;;RUB;RUB
103727;1015.00;506.10;0;0;3;;RUB;RUB
104707;1333.00;665.70;0;0;3;;RUB;RUB
104716;1475.00;737.10;0;0;3;;RUB;RUB
104785;1107.00;491.40;0;0;3;;RUB;RUB
104791;1924.00;961.80;1;1;1;телесный;RUB;RUB
104795;5350.00;2961.00;0;0;3;;RUB;RUB
105275;743.00;275.10;0;0;3;;RUB;RUB
105277;638.00;235.20;0;0;3;;RUB;RUB
105285;793.00;291.90;0;0;3;;RUB;RUB
105298;2477.00;1302.00;0;0;3;;RUB;RUB
105372;681.00;302.40;0;0;3;;RUB;RUB
105373;681.00;252.00;0;0;3;;RUB;RUB
105414;376.00;125.37;0;0;3;;RUB;RUB
105415;388.00;129.15;0;0;3;;RUB;RUB
105421;1026.00;455.70;1;1;1;тигровый;RUB;RUB
105426;799.00;354.90;0;0;3;;RUB;RUB
105427;677.00;249.90;0;0;3;;RUB;RUB
105497;1528.00;762.30;0;0;3;;RUB;RUB
105502;1271.00;634.20;0;0;3;;RUB;RUB
105503;1643.00;821.10;0;0;3;;RUB;RUB
105652;1006.00;501.90;0;0;3;;RUB;RUB
105895;547.00;182.28;0;0;3;;RUB;RUB
105899;719.00;264.60;0;0;3;;RUB;RUB
105900;1211.00;604.80;0;0;3;;RUB;RUB
105904;580.00;214.20;0;0;3;;RUB;RUB
105906;580.00;214.20;0;0;3;;RUB;RUB
105918;580.00;214.20;0;0;3;;RUB;RUB
106433;1503.00;749.70;0;0;3;;RUB;RUB
106844;1674.00;835.80;0;0;3;;RUB;RUB
107358;1551.00;774.90;0;0;3;;RUB;RUB
107694;1187.00;592.20;0;0;3;;RUB;RUB
107750;1196.00;596.40;0;0;3;;RUB;RUB
107925;3883.00;2142.00;0;0;3;;RUB;RUB
107927;3395.00;1785.00;0;0;3;;RUB;RUB
107929;3395.00;1785.00;0;0;3;;RUB;RUB
107936;3478.00;1829.10;0;0;3;;RUB;RUB
107963;787.00;289.80;0;0;3;;RUB;RUB
107990;759.00;279.30;0;0;3;;RUB;RUB
108016;767.00;470.40;0;0;3;;RUB;RUB
108095;1463.00;730.80;0;0;3;;RUB;RUB
108343;441.00;147.00;0;0;3;;RUB;RUB
108348;579.00;214.20;0;0;3;;RUB;RUB
108369;7778.00;4305.00;1;1;1;телесный;RUB;RUB
108377;3784.00;1990.80;0;0;3;;RUB;RUB
108460;579.00;214.20;0;0;3;;RUB;RUB
108603;1269.00;634.20;0;0;3;;RUB;RUB
108611;947.00;420.00;0;0;3;;RUB;RUB
109094;1859.00;928.20;0;0;3;;RUB;RUB
109097;1706.00;852.60;0;0;3;;RUB;RUB
109101;1706.00;852.60;0;0;3;;RUB;RUB
109178;1066.00;531.30;0;0;3;;RUB;RUB
109181;1086.00;480.90;1;11;1;;RUB;RUB
109182;1086.00;480.90;1;6;1;;RUB;RUB
109183;1258.00;627.90;0;0;3;;RUB;RUB
110390;758.00;336.00;0;0;3;;RUB;RUB
110392;758.00;336.00;0;0;3;;RUB;RUB
110403;1013.00;449.40;0;0;3;;RUB;RUB
110792;1776.00;886.20;0;0;3;;RUB;RUB
110875;1583.00;791.70;0;0;3;;RUB;RUB
112779;1570.00;783.30;0;0;3;;RUB;RUB
114632;555.00;184.80;0;0;3;;RUB;RUB
117244;1804.00;900.90;0;0;3;;RUB;RUB
117625;76310.00;54495.00;0;0;3;;RUB;RUB
117636;3995.00;2205.00;0;0;3;;RUB;RUB
117893;1027.00;455.70;0;0;3;;RUB;RUB
117900;8920.00;5082.00;0;0;3;;RUB;RUB
117960;1520.00;758.10;0;0;3;;RUB;RUB
117968;2470.00;1299.90;0;0;3;;RUB;RUB
117969;1374.00;686.70;0;0;3;;RUB;RUB
117976;2022.00;1062.60;0;0;3;;RUB;RUB
118085;1955.00;1029.00;0;0;3;;RUB;RUB
118086;2022.00;1062.60;0;0;3;;RUB;RUB
118104;554.00;203.70;0;0;3;;RUB;RUB
118105;754.00;333.90;0;0;3;;RUB;RUB
118106;554.00;203.70;0;0;3;;RUB;RUB
118107;554.00;203.70;0;0;3;;RUB;RUB
118243;1703.00;850.50;0;0;3;;RUB;RUB
119039;740.00;327.60;0;0;3;;RUB;RUB
119086;809.00;359.10;1;1;1;голубой;RUB;RUB
119601;702.00;310.80;0;0;3;;RUB;RUB
120012;6788.00;3759.00;0;0;3;;RUB;RUB
121883;1100.00;487.20;0;0;3;;RUB;RUB
121903;555.00;203.70;0;0;3;;RUB;RUB
122031;800.00;354.90;0;0;3;;RUB;RUB
122032;1067.00;472.50;0;0;3;;RUB;RUB
122061;1270.00;634.20;0;0;3;;RUB;RUB
122064;1539.00;768.60;0;0;3;;RUB;RUB
122542;1777.00;888.30;0;0;3;;RUB;RUB
122548;1564.00;781.20;1;1;1;телесный;RUB;RUB
122550;1564.00;781.20;1;1;1;телесный;RUB;RUB
123344;790.00;291.90;0;0;3;;RUB;RUB
123346;257.00;73.50;0;0;3;;RUB;RUB
123348;262.00;74.97;0;0;3;;RUB;RUB
124937;1068.00;533.40;0;0;3;;RUB;RUB
124939;1050.00;522.90;0;0;3;;RUB;RUB
126686;1115.00;556.50;0;0;3;;RUB;RUB
126975;540.00;179.97;0;0;3;;RUB;RUB
126978;348.00;99.54;0;0;3;;RUB;RUB
127051;4234.00;2352.00;0;0;3;;RUB;RUB
128599;3077.00;1619.10;0;0;3;;RUB;RUB
128668;3285.00;1728.30;0;0;3;;RUB;RUB
128712;976.00;432.60;0;0;3;;RUB;RUB
130351;1445.00;720.30;0;0;3;;RUB;RUB
130426;780.00;336.00;0;0;3;;RUB;RUB
131490;774.00;342.30;0;0;3;;RUB;RUB
131643;17057.00;9744.00;0;0;3;;RUB;RUB
132467;1635.00;816.90;0;0;3;;RUB;RUB
132490;2632.00;1383.90;0;0;3;;RUB;RUB
133788;1753.00;875.70;0;0;3;;RUB;RUB
134612;4843.00;2688.00;0;0;3;;RUB;RUB
137857;1942.00;1020.60;1;1;1;коричневый;RUB;RUB
137886;1797.00;896.70;0;0;3;;RUB;RUB
137924;1050.00;522.90;1;1;1;черный;RUB;RUB
138296;9485.00;5418.00;0;0;3;;RUB;RUB
138371;4356.00;2415.00;0;0;3;;RUB;RUB
138643;2113.00;1110.90;0;0;3;;RUB;RUB
141198;1657.00;827.40;1;1;1;белый;RUB;RUB
141483;1349.00;674.10;0;0;3;;RUB;RUB
141501;2147.00;1129.80;0;0;3;;RUB;RUB
143111;1379.00;688.80;0;0;3;;RUB;RUB
146269;3052.00;1606.50;0;0;3;;RUB;RUB
146274;2521.00;1325.10;0;0;3;;RUB;RUB
146303;376.00;125.37;0;0;3;;RUB;RUB
147767;931.00;413.70;0;0;3;;RUB;RUB
147811;358.00;119.07;1;1;1;красный;RUB;RUB
147818;742.00;329.70;0;0;3;;RUB;RUB
147834;919.00;407.40;0;0;3;;RUB;RUB
147985;1593.00;795.90;0;0;3;;RUB;RUB
147994;797.00;352.80;0;0;3;;RUB;RUB
147995;797.00;352.80;0;0;3;;RUB;RUB
148001;1591.00;793.80;0;0;3;;RUB;RUB
148167;1762.00;879.90;0;0;3;;RUB;RUB
148168;1762.00;879.90;0;0;3;;RUB;RUB
149458;1602.00;800.10;1;1;1;телесный;RUB;RUB
150242;1002.00;445.20;0;0;3;;RUB;RUB
150502;598.00;220.50;0;0;3;;RUB;RUB
150704;2207.00;1161.30;0;0;3;;RUB;RUB
151903;704.00;260.40;0;0;3;;RUB;RUB
151904;704.00;260.40;0;0;3;;RUB;RUB
151905;704.00;260.40;0;0;3;;RUB;RUB
151906;414.00;137.97;0;0;3;;RUB;RUB
152107;620.00;378.00;0;0;3;;RUB;RUB
152164;722.00;319.20;0;0;3;;RUB;RUB
152169;722.00;319.20;0;0;3;;RUB;RUB
152189;569.00;210.00;0;0;3;;RUB;RUB
153000;554.00;203.70;0;0;3;;RUB;RUB
153978;2995.00;1755.60;0;0;3;;RUB;RUB
154389;1179.00;619.50;1;4;1;белый;RUB;RUB
154534;2186.00;1148.70;0;0;3;;RUB;RUB
154536;2258.00;1186.50;0;0;3;;RUB;RUB
154538;2186.00;1148.70;0;0;3;;RUB;RUB
154763;399.00;249.90;0;0;3;;RUB;RUB
157212;2181.00;1146.60;0;0;3;;RUB;RUB
157213;1308.00;653.10;0;0;3;;RUB;RUB
157214;1376.00;686.70;0;0;3;;RUB;RUB
157215;1401.00;699.30;1;1;1;;RUB;RUB
157235;1768.00;884.10;0;0;3;;RUB;RUB
157380;30584.00;19719.00;0;0;3;;RUB;RUB
157441;6471.00;3591.00;0;0;3;;RUB;RUB
157477;1123.00;560.70;0;0;3;;RUB;RUB
157627;636.00;235.20;0;0;3;;RUB;RUB
157635;1366.00;682.50;0;0;3;;RUB;RUB
158025;343.00;114.24;0;0;3;;RUB;RUB
158028;1799.00;898.80;0;0;3;;RUB;RUB
158032;1591.00;793.80;0;0;3;;RUB;RUB
158040;4603.00;2541.00;1;1;1;телесный;RUB;RUB
158041;3318.00;1745.10;0;0;3;;RUB;RUB
158075;2348.00;1234.80;0;0;3;;RUB;RUB
158333;6527.00;3612.00;0;0;3;;RUB;RUB
158466;1099.00;487.20;0;0;3;;RUB;RUB
158474;1008.00;501.90;0;0;3;;RUB;RUB
158805;2330.00;1226.40;1;1;1;"S-M-L изумрудный";RUB;RUB
167872;724.00;266.70;0;0;3;;RUB;RUB
167889;470.00;156.66;0;0;3;;RUB;RUB
167890;432.00;159.81;0;0;3;;RUB;RUB
167938;1798.00;898.80;0;0;3;;RUB;RUB
169272;2627.00;1381.80;0;0;3;;RUB;RUB
169819;264.00;75.60;0;0;3;;RUB;RUB
170141;441.00;270.90;1;1;1;;RUB;RUB
171258;1942.00;1020.60;0;0;3;;RUB;RUB
173513;262.00;74.97;0;0;3;;RUB;RUB
174164;4815.00;2667.00;0;0;3;;RUB;RUB
174169;4815.00;2667.00;0;0;3;;RUB;RUB
174609;2661.00;1398.60;0;0;3;;RUB;RUB
175205;1236.00;617.40;0;0;3;;RUB;RUB
177805;5841.00;3234.00;0;0;3;;RUB;RUB
177806;3581.00;1883.70;0;0;3;;RUB;RUB
177941;2345.00;1232.70;0;0;3;;RUB;RUB
178313;968.00;428.40;0;0;3;;RUB;RUB
178435;470.00;156.66;0;0;3;;RUB;RUB
178436;923.00;409.50;0;0;3;;RUB;RUB
178566;806.00;298.20;0;0;3;;RUB;RUB
178568;1094.00;485.10;0;0;3;;RUB;RUB
178609;676.00;249.90;0;0;3;;RUB;RUB
178745;9759.00;5565.00;0;0;3;;RUB;RUB
178881;3719.00;1957.20;0;0;3;;RUB;RUB
179373;882.00;390.60;0;0;3;;RUB;RUB
179408;1963.00;1033.20;0;0;3;;RUB;RUB
179413;8234.00;4557.00;0;0;3;;RUB;RUB
179424;2019.00;1062.60;0;0;3;;RUB;RUB
179441;1154.00;575.40;0;0;3;;RUB;RUB
179454;2694.00;1417.50;0;0;3;;RUB;RUB
179457;2483.00;1306.20;0;0;3;;RUB;RUB
179462;4040.00;2226.00;0;0;3;;RUB;RUB
179463;7306.00;4053.00;0;0;3;;RUB;RUB
179464;2550.00;1341.90;0;0;3;;RUB;RUB
179916;359.00;119.70;0;0;3;;RUB;RUB
180407;572.00;210.00;0;0;3;;RUB;RUB
180411;590.00;218.40;0;0;3;;RUB;RUB
180575;756.00;279.30;1;1;1;;RUB;RUB
180748;767.00;283.50;0;0;3;;RUB;RUB
180749;767.00;283.50;0;0;3;;RUB;RUB
180750;643.00;237.30;0;0;3;;RUB;RUB
181052;697.00;256.20;0;0;3;;RUB;RUB
181053;697.00;256.20;0;0;3;;RUB;RUB
181394;2016.00;1060.50;0;0;3;;RUB;RUB
181971;6962.00;3864.00;0;0;3;;RUB;RUB
182014;2205.00;1159.20;0;0;3;;RUB;RUB
182015;3864.00;2142.00;0;0;3;;RUB;RUB
182297;2063.00;1085.70;1;5;1;"S-M черный";RUB;RUB
182567;10111.00;5775.00;0;0;3;;RUB;RUB
182676;10599.00;6048.00;0;0;3;;RUB;RUB
182801;19280.00;12432.00;0;0;3;;RUB;RUB
182804;3944.00;2184.00;0;0;3;;RUB;RUB
182984;1206.00;602.70;0;0;3;;RUB;RUB
183083;1050.00;522.90;0;0;3;;RUB;RUB
183136;1344.00;672.00;0;0;3;;RUB;RUB
183287;848.00;375.90;0;0;3;;RUB;RUB
183293;584.00;216.30;0;0;3;;RUB;RUB
183296;567.00;207.90;0;0;3;;RUB;RUB
183361;514.00;171.15;0;0;3;;RUB;RUB
183369;583.00;214.20;0;0;3;;RUB;RUB
183380;644.00;237.30;0;0;3;;RUB;RUB
183464;1850.00;924.00;1;0;3;;RUB;RUB
183816;19944.00;12852.00;0;0;3;;RUB;RUB
184075;7256.00;4011.00;0;0;3;;RUB;RUB
184544;2272.00;1194.90;1;1;1;телесный;RUB;RUB
184551;1870.00;934.50;1;1;1;телесный;RUB;RUB
184553;1182.00;590.10;0;0;3;;RUB;RUB
184566;1104.00;550.20;0;0;3;;RUB;RUB
184569;2057.00;1081.50;0;0;3;;RUB;RUB
184570;1438.00;718.20;0;0;3;;RUB;RUB
184572;1186.00;592.20;0;0;3;;RUB;RUB
184599;3777.00;1986.60;0;0;3;;RUB;RUB
184859;734.00;270.90;0;0;3;;RUB;RUB
185475;510.00;169.89;0;0;3;;RUB;RUB
185476;547.00;182.28;0;0;3;;RUB;RUB
185477;547.00;182.28;0;0;3;;RUB;RUB
185478;302.00;100.59;0;0;3;;RUB;RUB
185842;932.00;413.70;0;0;3;;RUB;RUB
186128;643.00;237.30;0;0;3;;RUB;RUB
186291;3400.00;1789.20;0;0;3;;RUB;RUB
186605;2361.00;1241.10;0;0;3;;RUB;RUB
186610;1380.00;688.80;0;0;3;;RUB;RUB
186612;1046.00;464.10;0;0;3;;RUB;RUB
186970;1095.00;485.10;0;0;3;;RUB;RUB
186981;2181.00;1146.60;0;0;3;;RUB;RUB
187030;771.00;285.60;0;0;3;;RUB;RUB
187342;5564.00;3087.00;0;0;3;;RUB;RUB
187344;9262.00;5292.00;0;0;3;;RUB;RUB
187746;1089.00;483.00;0;0;3;;RUB;RUB
187747;1046.00;464.10;0;0;3;;RUB;RUB
188080;275.00;78.54;0;0;3;;RUB;RUB
188150;17571.00;11319.00;0;0;3;;RUB;RUB
188421;3205.00;1686.30;0;0;3;;RUB;RUB
188642;5941.00;3297.00;0;0;3;;RUB;RUB
188661;1976.00;1039.50;0;0;3;;RUB;RUB
189211;469.00;156.03;0;0;3;;RUB;RUB
189212;383.00;127.68;0;0;3;;RUB;RUB
189923;879.00;390.60;0;0;3;;RUB;RUB
189924;1424.00;709.80;0;0;3;;RUB;RUB
190069;1602.00;800.10;0;0;3;;RUB;RUB
190079;1380.00;688.80;0;0;3;;RUB;RUB
190080;1256.00;627.90;0;0;3;;RUB;RUB
190104;798.00;294.00;0;0;3;;RUB;RUB
190225;746.00;451.50;0;0;3;;RUB;RUB
190406;746.00;451.50;0;0;3;;RUB;RUB
190631;5779.00;3192.00;0;0;3;;RUB;RUB
190796;2570.00;1352.40;1;2;1;"телесный с черным";RUB;RUB
190797;2826.00;1486.80;0;0;3;;RUB;RUB
190799;2826.00;1486.80;0;0;3;;RUB;RUB
191893;2745.00;1442.70;0;0;3;;RUB;RUB
192831;697.00;256.20;0;0;3;;RUB;RUB
192840;3188.00;1677.90;0;0;3;;RUB;RUB
192883;2546.00;1339.80;1;1;1;"M черный";RUB;RUB
193052;23499.00;15141.00;1;0;3;;RUB;RUB
193053;704.00;260.40;0;0;3;;RUB;RUB
193125;735.00;270.90;0;0;3;;RUB;RUB
193126;731.00;268.80;0;0;3;;RUB;RUB
193127;783.00;289.80;0;0;3;;RUB;RUB
193128;704.00;260.40;0;0;3;;RUB;RUB
195184;547.00;182.28;0;0;3;;RUB;RUB
195781;548.00;201.60;0;0;3;;RUB;RUB
195790;1221.00;609.00;1;1;1;черный;RUB;RUB
195794;1304.00;651.00;0;0;3;;RUB;RUB
195903;570.00;189.84;0;0;3;;RUB;RUB
196012;15523.00;8862.00;0;0;3;;RUB;RUB
196019;33522.00;23940.00;1;0;3;;RUB;RUB
197208;1254.00;625.80;0;0;3;;RUB;RUB
197209;1254.00;625.80;0;0;3;;RUB;RUB
197210;1145.00;571.20;0;0;3;;RUB;RUB
197211;1017.00;451.50;0;0;3;;RUB;RUB
197213;1408.00;703.50;0;0;3;;RUB;RUB
197218;1962.00;980.70;0;0;3;;RUB;RUB
197398;3343.00;1757.70;1;1;1;телесный;RUB;RUB
197443;2972.00;1562.40;1;0;3;;RUB;RUB
197685;14058.00;8022.00;0;0;3;;RUB;RUB
197883;582.00;193.83;0;0;3;;RUB;RUB
197887;751.00;277.20;0;0;3;;RUB;RUB
197898;1331.00;663.60;0;0;3;;RUB;RUB
197940;812.00;359.10;0;0;3;;RUB;RUB
198140;753.00;333.90;0;0;3;;RUB;RUB
198350;319.00;106.26;0;0;3;;RUB;RUB
198351;319.00;106.26;0;0;3;;RUB;RUB
198362;57.00;42.00;0;0;3;;RUB;RUB
198363;281.00;80.43;0;0;3;;RUB;RUB
198364;34.00;25.41;0;0;3;;RUB;RUB
198547;775.00;344.40;0;0;3;;RUB;RUB
199071;5128.00;2835.00;0;0;3;;RUB;RUB
199072;5128.00;2835.00;0;0;3;;RUB;RUB
199073;5128.00;2835.00;0;0;3;;RUB;RUB
199075;5128.00;2835.00;0;0;3;;RUB;RUB
199076;5128.00;2835.00;0;0;3;;RUB;RUB
199081;2962.00;1558.20;0;0;3;;RUB;RUB
199848;1649.00;823.20;0;0;3;;RUB;RUB
199854;3592.00;1890.00;0;0;3;;RUB;RUB
199855;917.00;407.40;0;0;3;;RUB;RUB
199871;1082.00;480.90;0;0;3;;RUB;RUB
199891;1969.00;1035.30;0;0;3;;RUB;RUB
199896;4754.00;2625.00;0;0;3;;RUB;RUB
199908;2025.00;1100.40;0;0;3;;RUB;RUB
199942;4731.00;2625.00;0;0;3;;RUB;RUB
200093;1114.00;556.50;0;0;3;;RUB;RUB
200095;1176.00;585.90;0;0;3;;RUB;RUB
200100;3940.00;2184.00;0;0;3;;RUB;RUB
200659;4642.00;2562.00;0;0;3;;RUB;RUB
201195;704.00;312.90;0;0;3;;RUB;RUB
201212;6284.00;3486.00;0;0;3;;RUB;RUB
201218;267.00;76.44;0;0;3;;RUB;RUB
201238;990.00;499.80;0;0;3;;RUB;RUB
201313;578.00;357.00;0;0;3;;RUB;RUB
201328;10626.00;6069.00;0;0;3;;RUB;RUB
201538;935.00;564.90;0;0;3;;RUB;RUB
201597;7579.00;4200.00;0;0;3;;RUB;RUB
201601;2949.00;1549.80;0;0;3;;RUB;RUB
201755;264.00;75.60;0;0;3;;RUB;RUB
201756;264.00;75.60;0;0;3;;RUB;RUB
201875;1032.00;514.50;0;0;3;;RUB;RUB
201974;689.00;304.50;0;0;3;;RUB;RUB
201977;1027.00;512.40;0;0;3;;RUB;RUB
202003;1940.00;970.20;0;0;3;;RUB;RUB
202165;3417.00;1797.60;0;0;3;;RUB;RUB
202180;1581.00;789.60;0;0;3;;RUB;RUB
202378;316.00;105.21;0;0;3;;RUB;RUB
202392;2290.00;1165.50;0;0;3;;RUB;RUB
202414;2790.00;1600.20;0;0;3;;RUB;RUB
202641;5583.00;3087.00;0;0;3;;RUB;RUB
202653;706.00;312.90;0;0;3;;RUB;RUB
202654;786.00;289.80;0;0;3;;RUB;RUB
202764;1905.00;1001.70;0;0;3;;RUB;RUB
202774;3722.00;1957.20;1;1;1;"S-M белый";RUB;RUB
202861;2920.00;1535.10;1;1;1;"L-XL красный";RUB;RUB
203102;1330.00;663.60;0;0;3;;RUB;RUB
203159;1272.00;634.20;0;0;3;;RUB;RUB
203215;1953.00;1026.90;0;0;3;;RUB;RUB
203261;14898.00;8505.00;0;0;3;;RUB;RUB
203293;806.00;298.20;0;0;3;;RUB;RUB
203304;800.00;296.10;0;0;3;;RUB;RUB
203305;736.00;270.90;0;0;3;;RUB;RUB
203310;1860.00;928.20;0;0;3;;RUB;RUB
203312;33569.00;23961.00;0;0;3;;RUB;RUB
203379;5174.00;2856.00;0;0;3;;RUB;RUB
203400;2286.00;1203.30;1;1;1;телесный;RUB;RUB
203432;5200.00;2877.00;1;0;3;;RUB;RUB
203441;13027.00;7434.00;0;0;3;;RUB;RUB
203530;1602.00;800.10;0;0;3;;RUB;RUB
203556;767.00;470.40;0;0;3;;RUB;RUB
203557;860.00;382.20;1;1;1;;RUB;RUB
203695;2289.00;1203.30;0;0;3;;RUB;RUB
203780;2713.00;1425.90;0;0;3;;RUB;RUB
203942;1565.00;781.20;0;0;3;;RUB;RUB
204197;689.00;304.50;1;31;1;дымчатый;RUB;RUB
204219;1557.00;777.00;0;0;3;;RUB;RUB
204224;942.00;417.90;1;5;1;голубой;RUB;RUB
204225;942.00;417.90;0;0;3;;RUB;RUB
204229;942.00;417.90;0;0;3;;RUB;RUB
204231;949.00;420.00;0;0;3;;RUB;RUB
204236;942.00;417.90;1;3;1;черный;RUB;RUB
204257;689.00;304.50;0;0;3;;RUB;RUB
204321;2089.00;1098.30;0;0;3;;RUB;RUB
204429;4539.00;2520.00;0;0;3;;RUB;RUB
204550;2522.00;1327.20;0;0;3;;RUB;RUB
204569;2160.00;1136.10;0;0;3;;RUB;RUB
204572;1943.00;970.20;0;0;3;;RUB;RUB
206859;923.00;409.50;0;0;3;;RUB;RUB
206860;740.00;273.00;0;0;3;;RUB;RUB
206861;899.00;399.00;0;0;3;;RUB;RUB
206864;740.00;273.00;0;0;3;;RUB;RUB
206894;1890.00;942.90;1;0;3;;RUB;RUB
206897;1650.00;823.20;0;0;3;;RUB;RUB
206902;1699.00;848.40;1;1;1;"S-M белый";RUB;RUB
217511;2873.00;1512.00;0;0;3;;RUB;RUB
217536;4731.00;2625.00;0;0;3;;RUB;RUB
217537;4731.00;2625.00;0;0;3;;RUB;RUB
217597;1861.00;930.30;0;0;3;;RUB;RUB
217598;1684.00;840.00;0;0;3;;RUB;RUB
220278;243.00;69.51;0;0;3;;RUB;RUB
220380;1339.00;667.80;0;0;3;;RUB;RUB
220388;1212.00;604.80;0;0;3;;RUB;RUB
220425;754.00;279.30;1;1;1;черный;RUB;RUB
220427;1915.00;1008.00;0;0;3;;RUB;RUB
220445;6688.00;3696.00;0;0;3;;RUB;RUB
220495;262.00;74.97;0;0;3;;RUB;RUB
222069;1915.00;1008.00;0;0;3;;RUB;RUB
222274;1317.00;657.30;1;0;3;;RUB;RUB
222282;1180.00;590.10;0;0;3;;RUB;RUB
222287;1111.00;554.40;0;0;3;;RUB;RUB
222336;3748.00;1971.90;0;0;3;;RUB;RUB
223734;825.00;365.40;0;0;3;;RUB;RUB
223735;825.00;365.40;0;0;3;;RUB;RUB
223892;538.00;237.30;0;0;3;;RUB;RUB
224382;1731.00;865.20;0;0;3;;RUB;RUB
224448;809.00;298.20;0;0;3;;RUB;RUB
224450;377.00;125.79;0;0;3;;RUB;RUB
224454;377.00;125.79;0;0;3;;RUB;RUB
224458;722.00;319.20;0;0;3;;RUB;RUB
224459;1447.00;722.40;0;0;3;;RUB;RUB
224460;722.00;319.20;0;0;3;;RUB;RUB
224462;722.00;319.20;0;0;3;;RUB;RUB
224464;722.00;319.20;0;0;3;;RUB;RUB
224467;722.00;319.20;0;0;3;;RUB;RUB
224468;1818.00;907.20;0;0;3;;RUB;RUB
224469;1447.00;722.40;0;0;3;;RUB;RUB
224470;722.00;319.20;0;0;3;;RUB;RUB
224472;810.00;359.10;0;0;3;;RUB;RUB
224508;728.00;268.80;0;0;3;;RUB;RUB
224562;542.00;180.39;0;0;3;;RUB;RUB
224564;571.00;190.26;0;0;3;;RUB;RUB
224565;542.00;180.39;0;0;3;;RUB;RUB
224726;1747.00;873.60;0;0;3;;RUB;RUB
225162;1980.00;989.10;0;0;3;;RUB;RUB
225250;2712.00;1425.90;0;0;3;;RUB;RUB
225387;1270.00;634.20;1;1;1;телесный;RUB;RUB
225469;1835.00;915.60;0;0;3;;RUB;RUB
225508;2430.00;1278.90;0;0;3;;RUB;RUB
